"perception ","Perception is the process of attaining awareness or understanding of the environment by organizing and interpreting sensory information. All perception involves signals in the nervous system, which in turn result from physical stimulation of the sense organs. For example, vision involves light striking the retinas of the eyes, smell is mediated by odor molecules and hearing involves pressure waves. Perception is not the passive receipt of these signals, but can be shaped by learning, memory and expectation. Perception involves these ""top-down"" effects as well as the ""bottom-up"" process of processing sensory input. Perception depends on complex functions of the nervous system, but subjectively seems mostly effortless because this processing happens outside conscious awareness.","Which is the process of attaining awareness or understanding of the environment by organizing and interpreting sensory information?","Volition","Intention","Attention"
"primary auditory cortex ","The primary auditory cortex is the region of the brain that is responsible for the processing of auditory information. Corresponding roughly with Brodmann areas 41 and 42, it is located on the temporal lobe, and performs the basics of hearing—pitch and volume. Besides receiving input from the ear and lower centers of the brain, the primary auditory cortex also transmits signals back to these areas.","Which is the region of the brain that is responsible for the processing of sound information?","Primary motor cortex","Orbitofrontal cortex","Posterior parietal cortex"
"Eardrum","The eardrum, or tympanic membrane, is a thin membrane that separates the external ear from the middle ear in humans and other tetrapods. Its function is to transmit sound from the air to the ossicles inside the middle ear. The malleus bone bridges the gap between the eardrum and the other ossicles. Rupture or perforation of the eardrum can lead to conductive hearing loss.","Which is a thin membrane that separates the external ear from the middle ear in humans and other tetrapods?","Utricle","Incus","Tympanum"
"auditory perception ","Hearing is the ability to perceive sound by detecting vibrations through an organ such as the ear. It is one of the traditional five senses. The inability to hear is called deafness.","Which is the ability to perceive sound by detecting vibrations through an organ such as the ear?","Speech perception","Haas effect",
"Basilar membrane","The basilar membrane, within the cochlea of the inner ear, is a stiff structural element that separates two liquid-filled tubes that run along the coil of the cochlea, the scala media and the scala tympani.","Which is a stiff structural element that separates two liquid-filled tubes that run along the coil of the cochlea, the scala media and the scala tympani?","Tympanic membrane","Utricle","Tympanum"
"cochlear nucleus ","The cochlear nuclei are two heterogeneous collections of neurons in the mammalian brainstem that receive input from the cochlear nerve, which carry sound information from the cochleae. The outputs from the CN are to higher regions of the auditory brainstem.","Which are two heterogeneous collections of neurons in the mammalian brainstem that receive input from the cochlear nerve, which carry sound information from the cochleae?","Vestibulo-oculomotor fibers","Vestibular nuclei","Habenular nuclei"
"cochlear implant ","A cochlear implant is a surgically implanted electronic device that provides a sense of sound to a person who is profoundly deaf or severely hard of hearing. The cochlear implant is often referred to as a bionic ear.","Which is a surgically implanted electronic device that provides a sense of sound to a person who is profoundly deaf or severely hard of hearing?","Visual prosthesis","Retinal implant","Tinnitus masker"
"Cochlea","The cochlea is the auditory portion of the inner ear. It is a spiral-shaped cavity in the bony labyrinth, making 2.5 turns around its axis, the modiolus. A core component of the cochlea is the Organ of Corti, the sensory organ of hearing, which is distributed along the partition separating fluid chambers in the coiled tapered tube of the cochlea.","Which is the auditory portion of the inner ear?","Ossicle","Tympanum","Kinocilium"
"tonotopic map ","Tonotopy is the spatial arrangement of where sounds of different frequency are processed in the brain. Tones close to each other in terms of frequency are represented in topologically neighbouring regions in the brain. Tonotopic maps are a particular case of topographic organization, similar to retinotopy in the visual system.","Which refers to the spatial arrangement of where sounds of different frequency are processed in the brain.","Phonomyography","Electromyography","Electromyoneurography"
"Inferior colliculus","The inferior colliculus is the principal midbrain nucleus of the auditory pathway and receives input from several more peripheral brainstem nuclei in the auditory pathway, as well as inputs from the auditory cortex. The inferior colliculus has three subdivisions: the central nucleus, a dorsal cortex by which it is surrounded, and an external cortex which is located laterally. Its bimodal neurons are implied in auditory-somatosensory interaction, receiving projections from somatosensory nuclei. This multisensory integration may underlie a filtering of self-effected sounds from vocalisation, chewing, or respiration activities.","Which is the principal midbrain nucleus of the auditory pathway and receives input from several more peripheral brainstem nuclei in the auditory pathway, as well as inputs from the auditory cortex?","Metencephalon","Allothalamus","Lenticular fasciculus"
"scotopia ","Scotopic sensitivity syndrome, also known as Irlen Syndrome and Visual Stress Syndrome, approximating in some ways to Meares Irlen syndrome, and 'Visual Stress', refers to visual perceptual disorder affecting primarily reading and writing based activities.","What refers to a visual perceptual disorder affecting primarily reading and writing based activities?","22q13 deletion syndrome","Fragile X syndrome","Auditory processing disorder"
"interaural time ","The interaural time difference (or ITD) when concerning humans or animals, is the difference in arrival time of a sound between two ears. It is important in the localisation of sounds, as it provides a cue to the direction or angle of the sound source from the head.","Which refers to the time difference in the arrival of a sound two the two ears.","Alignment level","Aural differential","Electromyoneurography"
"pinna ","In animal anatomy, the pinna is the visible part of the ear that resides outside of the head.","Which is the visible part of the ear that resides outside of the head?","Ear","Incus","Kinocilium"
"olfactory system ","The olfactory system is the sensory system used for olfaction, or the sense of smell. Most mammals and reptiles have two distinct parts to their olfactory system: a main olfactory system and an accessory olfactory system. The main olfactory system detects volatile, airborne substances, while the accessory olfactory system senses fluid-phase stimuli. Behavioral evidence indicates that most often, the stimuli detected by the accessory olfactory system are pheromones.","Which is the sensory system used for olfaction, or the sense of smell?","Gustatory system","Auditory system","Tactile system"
"Orbitofrontal cortex","The orbitofrontal cortex is a prefrontal cortex region in the frontal lobes in the brain which is involved in the cognitive processing of decision-making. It consists in non-human primates of the association cortex areas brodmann area 11, 12 and 13; in humans it consists of brodmann area 10, 11 and 47 Because of its functions in emotion and reward, the OFC is considered by some to be a part of the limbic system.","Which is the prefrontal cortex region in the frontal lobes in the brain which is involved in the cognitive processing of decision-making?","Archicortex","Proisocortex","Paleocortex"
